"date","city","price_index","source"
2018-03-01,"London",109,"StatCan NHPI 18-10-0205-01"
2018-04-01,"London",109.2,"StatCan NHPI 18-10-0205-01"
2018-05-01,"London",109.5,"StatCan NHPI 18-10-0205-01"
2018-06-01,"London",109.6,"StatCan NHPI 18-10-0205-01"
2018-07-01,"London",110.1,"StatCan NHPI 18-10-0205-01"
2018-08-01,"London",110.4,"StatCan NHPI 18-10-0205-01"
2018-09-01,"London",110.9,"StatCan NHPI 18-10-0205-01"
2018-10-01,"London",111,"StatCan NHPI 18-10-0205-01"
2018-11-01,"London",111.1,"StatCan NHPI 18-10-0205-01"
2018-12-01,"London",111.2,"StatCan NHPI 18-10-0205-01"
2019-01-01,"London",111.2,"StatCan NHPI 18-10-0205-01"
2019-02-01,"London",111.9,"StatCan NHPI 18-10-0205-01"
2019-03-01,"London",112.2,"StatCan NHPI 18-10-0205-01"
2019-04-01,"London",112.6,"StatCan NHPI 18-10-0205-01"
2019-05-01,"London",112.8,"StatCan NHPI 18-10-0205-01"
2019-06-01,"London",113.2,"StatCan NHPI 18-10-0205-01"
2019-07-01,"London",113.4,"StatCan NHPI 18-10-0205-01"
2019-08-01,"London",113.4,"StatCan NHPI 18-10-0205-01"
2019-09-01,"London",114.1,"StatCan NHPI 18-10-0205-01"
2019-10-01,"London",114.3,"StatCan NHPI 18-10-0205-01"
2019-11-01,"London",114.4,"StatCan NHPI 18-10-0205-01"
2019-12-01,"London",114.4,"StatCan NHPI 18-10-0205-01"
2020-01-01,"London",114.7,"StatCan NHPI 18-10-0205-01"
2020-02-01,"London",114.8,"StatCan NHPI 18-10-0205-01"
2020-03-01,"London",115.5,"StatCan NHPI 18-10-0205-01"
2020-04-01,"London",115.8,"StatCan NHPI 18-10-0205-01"
2020-05-01,"London",116.2,"StatCan NHPI 18-10-0205-01"
2020-06-01,"London",116.3,"StatCan NHPI 18-10-0205-01"
2020-07-01,"London",116.7,"StatCan NHPI 18-10-0205-01"
2020-08-01,"London",117.3,"StatCan NHPI 18-10-0205-01"
2020-09-01,"London",117.8,"StatCan NHPI 18-10-0205-01"
2020-10-01,"London",117.9,"StatCan NHPI 18-10-0205-01"
2020-11-01,"London",118.1,"StatCan NHPI 18-10-0205-01"
2020-12-01,"London",119,"StatCan NHPI 18-10-0205-01"
2021-01-01,"London",121.2,"StatCan NHPI 18-10-0205-01"
2021-02-01,"London",121.8,"StatCan NHPI 18-10-0205-01"
2021-03-01,"London",124.4,"StatCan NHPI 18-10-0205-01"
2021-04-01,"London",125,"StatCan NHPI 18-10-0205-01"
2021-05-01,"London",130.1,"StatCan NHPI 18-10-0205-01"
2021-06-01,"London",131.1,"StatCan NHPI 18-10-0205-01"
2021-07-01,"London",131.2,"StatCan NHPI 18-10-0205-01"
2021-08-01,"London",136.3,"StatCan NHPI 18-10-0205-01"
2021-09-01,"London",136.3,"StatCan NHPI 18-10-0205-01"
2021-10-01,"London",139.6,"StatCan NHPI 18-10-0205-01"
2021-11-01,"London",143.5,"StatCan NHPI 18-10-0205-01"
2021-12-01,"London",143.5,"StatCan NHPI 18-10-0205-01"
2022-01-01,"London",144.7,"StatCan NHPI 18-10-0205-01"
2022-02-01,"London",145.2,"StatCan NHPI 18-10-0205-01"
2022-03-01,"London",147.2,"StatCan NHPI 18-10-0205-01"
2022-04-01,"London",147.2,"StatCan NHPI 18-10-0205-01"
2022-05-01,"London",147.8,"StatCan NHPI 18-10-0205-01"
2022-06-01,"London",147.8,"StatCan NHPI 18-10-0205-01"
2022-07-01,"London",148.1,"StatCan NHPI 18-10-0205-01"
2022-08-01,"London",148.1,"StatCan NHPI 18-10-0205-01"
2022-09-01,"London",148.1,"StatCan NHPI 18-10-0205-01"
2022-10-01,"London",147.5,"StatCan NHPI 18-10-0205-01"
2022-11-01,"London",147.5,"StatCan NHPI 18-10-0205-01"
2022-12-01,"London",147.1,"StatCan NHPI 18-10-0205-01"
2023-01-01,"London",147.1,"StatCan NHPI 18-10-0205-01"
2023-02-01,"London",146.4,"StatCan NHPI 18-10-0205-01"
2023-03-01,"London",147.2,"StatCan NHPI 18-10-0205-01"
2023-04-01,"London",145.7,"StatCan NHPI 18-10-0205-01"
2023-05-01,"London",145.7,"StatCan NHPI 18-10-0205-01"
2023-06-01,"London",145.2,"StatCan NHPI 18-10-0205-01"
2023-07-01,"London",145.2,"StatCan NHPI 18-10-0205-01"
2023-08-01,"London",145.2,"StatCan NHPI 18-10-0205-01"
2023-09-01,"London",145.2,"StatCan NHPI 18-10-0205-01"
2023-10-01,"London",144.9,"StatCan NHPI 18-10-0205-01"
2023-11-01,"London",144.4,"StatCan NHPI 18-10-0205-01"
2023-12-01,"London",144.4,"StatCan NHPI 18-10-0205-01"
2024-01-01,"London",144.4,"StatCan NHPI 18-10-0205-01"
2024-02-01,"London",144.4,"StatCan NHPI 18-10-0205-01"
2024-03-01,"London",144,"StatCan NHPI 18-10-0205-01"
2024-04-01,"London",144.6,"StatCan NHPI 18-10-0205-01"
2024-05-01,"London",143.4,"StatCan NHPI 18-10-0205-01"
2024-06-01,"London",143.4,"StatCan NHPI 18-10-0205-01"
2024-07-01,"London",143.5,"StatCan NHPI 18-10-0205-01"
2024-08-01,"London",143.5,"StatCan NHPI 18-10-0205-01"
2024-09-01,"London",143.5,"StatCan NHPI 18-10-0205-01"
2024-10-01,"London",142.9,"StatCan NHPI 18-10-0205-01"
2024-11-01,"London",142.5,"StatCan NHPI 18-10-0205-01"
2024-12-01,"London",142.5,"StatCan NHPI 18-10-0205-01"
2016-01-01,"Ottawa-Gatineau",99,"StatCan NHPI 18-10-0205-01"
2016-02-01,"Ottawa-Gatineau",99,"StatCan NHPI 18-10-0205-01"
2016-03-01,"Ottawa-Gatineau",98.8,"StatCan NHPI 18-10-0205-01"
2016-04-01,"Ottawa-Gatineau",98.8,"StatCan NHPI 18-10-0205-01"
2016-05-01,"Ottawa-Gatineau",99,"StatCan NHPI 18-10-0205-01"
2016-06-01,"Ottawa-Gatineau",99.2,"StatCan NHPI 18-10-0205-01"
2016-07-01,"Ottawa-Gatineau",99.2,"StatCan NHPI 18-10-0205-01"
2016-08-01,"Ottawa-Gatineau",99.2,"StatCan NHPI 18-10-0205-01"
2016-09-01,"Ottawa-Gatineau",99.3,"StatCan NHPI 18-10-0205-01"
2016-10-01,"Ottawa-Gatineau",99.5,"StatCan NHPI 18-10-0205-01"
2016-11-01,"Ottawa-Gatineau",99.7,"StatCan NHPI 18-10-0205-01"
2016-12-01,"Ottawa-Gatineau",100,"StatCan NHPI 18-10-0205-01"
