EN_YEAR,EN_QUARTER,EN_MONTH,TOTAL,EN_DLI_PROVINCE_TERRITORY,EN_ADMIN_TYPE,EN_DESIGNATED_LEARNING_INSTITUTION
2021,Q2,Jun,--,Ontario,Private Institution,CMU College of Makeup Art and Design
2017,Q1,Feb,135,Ontario,Public Institution,Seneca College of Applied Arts and Technology
2015,Q3,Aug,440,Ontario,Public Institution,Mohawk College of Applied Arts and Technology
2015,Q1,Feb,75,Ontario,Public Institution,Université d'Ottawa University of Ottawa
2017,Q1,Jan,185,Ontario,Public Institution,York University
2016,Q4,Oct,45,Ontario,Public Institution,Lambton College
2016,Q3,Aug,280,Ontario,Public Institution,Toronto Metropolitan University
2019,Q1,Mar,115,Ontario,Public Institution,Carleton University
2020,Q2,Apr,295,Ontario,Public Institution,George Brown College
2015,Q1,Mar,110,Ontario,Public Institution,University of Toronto
2016,Q1,Jan,--,Ontario,Private Institution,Sunview College Business Technology Healthcare
2020,Q4,Oct,--,Ontario,Private Institution,Heartland International English School
2024,Q1,Feb,--,Ontario,Private Institution,PEEL COLLEGE OF PROFESSIONAL STUDIES
2023,Q1,Feb,--,Ontario,Private Institution,Queen's College of Business Technology and Public Safety
2023,Q2,Apr,--,Ontario,Private Institution,Bryan College of Applied Health and Business Sciences
2022,Q3,Aug,--,Ontario,Private Institution,Academy of Applied Pharmaceutical Sciences
2020,Q1,Mar,--,Ontario,Private Institution,Hanson College of Business Health and Technology
2015,Q4,Nov,--,Ontario,Private Institution,Willis College of Business Technology Healthcare
2019,Q1,Mar,--,Ontario,Private Institution,Ottawa School of Art
2025,Q4,Nov,380,Ontario,Public Institution,Université d'Ottawa University of Ottawa
2024,Q3,Sep,500,Ontario,Public Institution,Fanshawe College
2023,Q1,Jan,110,Ontario,Private Institution,Yorkville University - Toronto Film School
2018,Q3,Sep,175,Ontario,Public Institution,Toronto Metropolitan University
2023,Q2,May,120,Ontario,Public Institution,Durham College of Applied Arts and Technology
2023,Q3,Aug,--,Ontario,Private Institution,Canadian Technology College Incorporated
2018,Q1,Jan,--,Ontario,Private Institution,McMaster Divinity College
2023,Q1,Feb,15,Ontario,Private Institution,King's University College at Western University
2022,Q4,Oct,75,Ontario,Private Institution,Northeastern University - ON
2020,Q4,Dec,250,Ontario,Public Institution,Northern College
2023,Q2,Apr,5,Ontario,Private Institution,Tyndale University
2021,Q1,Mar,50,Ontario,Public Institution,Lakehead University
2017,Q1,Jan,55,Ontario,Public Institution,Western University
2016,Q3,Sep,50,Ontario,Public Institution,Ontario Tech University
2023,Q4,Nov,15,Ontario,Private Institution,ABC Access Business College
2019,Q1,Mar,20,Ontario,Private Institution,Academy of Learning College - Toronto
2023,Q4,Nov,5,Ontario,Private Institution,Academy of Learning College - Kingston
2024,Q1,Feb,5,Ontario,Private Institution,Epic College of Technology Inc
2021,Q3,Sep,--,Ontario,Private Institution,International Institute of Travel and Business
2018,Q2,Jun,--,Ontario,Private Institution,Canadian Business Skills College of Technology
2025,Q1,Jan,--,Ontario,Private Institution,Spectrum Airways
2023,Q2,Jun,--,Ontario,Private Institution,Epic College of Technology Inc
2023,Q3,Aug,--,Ontario,Private Institution,Canadian Care Academy Inc
2016,Q2,May,--,Ontario,Private Institution,CDI College of Business Technology and Healthcare
2022,Q4,Dec,--,Ontario,Private Institution,CJ Health Care College
2023,Q4,Dec,10,Ontario,Private Institution,Thompson Career College Of Health and Business
2018,Q1,Mar,15,Ontario,Public Institution,Laurentian University
2017,Q2,Jun,--,Ontario,Private Institution,Career College Group
2020,Q4,Dec,--,Ontario,Private Institution,University of Trinity College
2016,Q2,Apr,10,Ontario,Private Institution,IBT College
2022,Q2,Jun,475,Ontario,Public Institution,University of Waterloo
2021,Q3,Aug,25,Ontario,Private Institution,The Royal Conservatory of Music
2018,Q1,Feb,30,Ontario,Public Institution,Queen's University
2021,Q2,Jun,10,Ontario,Private Institution,Niagara College Canada at Toronto school of Management
2017,Q3,Sep,--,Ontario,Private Institution,Hanson College of Business Health and Technology
2020,Q4,Nov,205,Ontario,Public Institution,York University
2023,Q1,Jan,230,Ontario,Public Institution,St Lawrence College
2025,Q4,Dec,90,Ontario,Public Institution,Collège Boréal
2025,Q1,Feb,65,Ontario,Public Institution,McMaster University
2021,Q4,Oct,315,Ontario,Public Institution,University of Windsor
2022,Q1,Mar,460,Ontario,Public Institution,University of Toronto
2025,Q2,Jun,35,Ontario,Public Institution,Ontario Tech University
2018,Q3,Sep,360,Ontario,Public Institution,Carleton University
2025,Q2,Jun,100,Ontario,Public Institution,McMaster University
2015,Q1,Jan,35,Ontario,Public Institution,Georgian College
2017,Q1,Mar,25,Ontario,Public Institution,Fleming College
2023,Q2,May,40,Ontario,Private Institution,CIMT College
2025,Q2,Jun,40,Ontario,Public Institution,Niagara College Canada
2017,Q3,Aug,--,Ontario,Private Institution,Oxford College of Arts Business And Technology Inc
2023,Q3,Aug,60,Ontario,Private Institution,Greystone College of Business and Technology Toronto Inc
2016,Q3,Jul,--,Ontario,Private Institution,Anderson College Health Business and Technology
2016,Q1,Mar,95,Ontario,Public Institution,The Sheridan College Institute of Technology and Advanced Learning
2019,Q2,Jun,75,Ontario,Public Institution,Georgian College
2021,Q2,May,30,Ontario,Public Institution,Algoma University
2019,Q3,Jul,45,Ontario,Public Institution,Sault College
2016,Q4,Oct,--,Ontario,Private Institution,Tyndale University
2024,Q1,Mar,15,Ontario,Private Institution,Evergreen College
2018,Q2,May,10,Ontario,Private Institution,International Institute of Travel and Business
2016,Q3,Aug,--,Ontario,Private Institution,The Culinary Arts School of Ontario Ltd oa Chef School
2015,Q4,Dec,455,Ontario,Public Institution,Humber College Institute of Technology and Advanced Learning Humber Lakeshore Campus
2020,Q1,Mar,5,Ontario,Private Institution,Canadian College for Higher Studies
2020,Q1,Jan,25,Ontario,Public Institution,Trent University
2024,Q1,Mar,80,Ontario,Public Institution,Queen's University
2022,Q4,Nov,345,Ontario,Public Institution,York University
2019,Q1,Jan,50,Ontario,Private Institution,Greystone College of Business and Technology Toronto Inc
2016,Q4,Nov,--,Ontario,Private Institution,Herzing College
2023,Q3,Aug,5,Ontario,Private Institution,University of St Michael's college
2018,Q2,Jun,--,Ontario,Private Institution,Academy of Learning College - Hamilton
2016,Q3,Jul,40,Ontario,Public Institution,Wilfrid Laurier University
2018,Q3,Sep,15,Ontario,Private Institution,MLC College of Business Technology and Healthcare
2015,Q3,Jul,40,Ontario,Public Institution,Lakehead University
2018,Q4,Nov,10,Ontario,Private Institution,CIMT College
2018,Q3,Aug,5,Ontario,Private Institution,A1-Global College of Health Business and Technology
2022,Q2,May,--,Ontario,Private Institution,Canadian Technical and Management College
2021,Q4,Oct,--,Ontario,Public Institution,Mohawk College of Applied Arts and Technology at triOS College Business Technology Healthcare Inc
2020,Q3,Aug,--,Ontario,Private Institution,Redeemer University
2024,Q1,Feb,--,Ontario,Private Institution,A1-Global College of Health Business and Technology
2021,Q2,Apr,--,Ontario,Private Institution,Oxford College of Arts Business And Technology Inc
2023,Q2,Jun,--,Ontario,Private Institution,Hansa Language Centre Inc
2017,Q4,Nov,--,Ontario,Private Institution,Toronto International Business College
2017,Q4,Dec,--,Ontario,Private Institution,Art and Technique Academy of Hairstyling and Esthetics
2022,Q1,Jan,--,Ontario,Private Institution,Sprott Shaw Language College Ontario Corp
2023,Q3,Aug,--,Ontario,Private Institution,Central Health Institute Inc
2016,Q2,Apr,--,Ontario,Private Institution,McMaster Divinity College
2019,Q3,Sep,--,Ontario,Private Institution,Canadian Technical and Management College
2020,Q3,Aug,50,Ontario,Public Institution,Ontario Tech University
2019,Q3,Aug,525,Ontario,Public Institution,Durham College of Applied Arts and Technology
2018,Q4,Oct,60,Ontario,Public Institution,St Lawrence College
2022,Q2,May,55,Ontario,Public Institution,University of Guelph
